Position,Relative_Likelihood
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,2.144149216859088E34
21,2.144149216859088E34
22,2.144149216859088E34
23,2.144149216859088E34
24,2.144149216859088E34
25,2.144149216859088E34
26,2.144149216859088E34
27,2.144149216859088E34
28,2.144149216859088E34
29,2.144149216859088E34
30,2.144149216859088E34
31,2.144149216859088E34
32,2.144149216859088E34
33,2.144149216859088E34
34,2.144149216859088E34
35,2.144149216859088E34
36,2.144149216859088E34
37,2.144149216859088E34
38,2.144149216859088E34
39,2.144149216859088E34
40,2.144149216859088E34
41,2.144149216859088E34
42,2.144149216859088E34
43,2.144149216859088E34
44,2.144149216859088E34
45,2.144149216859088E34
46,2.144149216859088E34
47,2.144149216859088E34
48,2.144149216859088E34
49,2.144149216859088E34
50,2.144149216859088E34
51,2.144149216859088E34
52,2.144149216859088E34
53,2.144149216859088E34
54,2.144149216859088E34
55,2.144149216859088E34
56,2.144149216859088E34
57,2.144149216859088E34
58,2.144149216859088E34
59,2.144149216859088E34
60,2.144149216859088E34
61,2.144149216859088E34
62,2.144149216859088E34
63,2.144149216859088E34
64,2.144149216859088E34
65,2.144149216859088E34
66,2.144149216859088E34
67,2.144149216859088E34
68,2.144149216859088E34
69,2.144149216859088E34
70,2.144149216859088E34
71,2.144149216859088E34
72,2.144149216859088E34
73,2.144149216859088E34
74,2.144149216859088E34
75,2.144149216859088E34
76,2.144149216859088E34
77,2.144149216859088E34
78,2.144149216859088E34
79,2.144149216859088E34
80,2.144149216859088E34
81,2.144149216859088E34
82,2.144149216859088E34
83,2.144149216859088E34
84,2.144149216859088E34
85,2.144149216859088E34
86,2.144149216859088E34
87,2.144149216859088E34
88,2.144149216859088E34
89,2.144149216859088E34
90,2.144149216859088E34
91,2.144149216859088E34
92,2.144149216859088E34
93,2.144149216859088E34
94,2.144149216859088E34
95,2.144149216859088E34
96,2.144149216859088E34
97,2.144149216859088E34
98,2.144149216859088E34
99,2.144149216859088E34
100,2.144149216859088E34
101,2.144149216859088E34
102,2.144149216859088E34
103,2.144149216859088E34
104,2.144149216859088E34
105,2.144149216859088E34
106,2.144149216859088E34
107,2.144149216859088E34
108,2.144149216859088E34
109,2.144149216859088E34
110,2.144149216859088E34
111,2.144149216859088E34
112,2.144149216859088E34
113,2.144149216859088E34
114,2.144149216859088E34
115,2.144149216859088E34
116,2.144149216859088E34
117,2.144149216859088E34
118,2.144149216859088E34
119,2.144149216859088E34
120,2.144149216859088E34
121,2.144149216859088E34
122,2.144149216859088E34
123,2.144149216859088E34
124,2.144149216859088E34
125,2.144149216859088E34
126,2.144149216859088E34
127,2.144149216859088E34
128,2.144149216859088E34
129,2.144149216859088E34
130,2.144149216859088E34
131,2.144149216859088E34
132,2.144149216859088E34
