Position,Relative_Likelihood
1,1.9056526707527299E37
2,1.9056526707527299E37
3,1.9056526707527299E37
4,1.9056526707527299E37
5,1.9056526707527299E37
6,1.9056526707527299E37
7,1.9056526707527299E37
8,1.9056526707527299E37
9,1.9056526707527299E37
10,1.9056526707527299E37
11,1.9056526707527299E37
12,1.9056526707527299E37
13,1.9056526707527299E37
14,1.9056526707527299E37
15,1.9056526707527299E37
16,1.9056526707527299E37
17,1.9056526707527299E37
18,1.9056526707527299E37
19,1.9056526707527299E37
20,1.9056526707527299E37
21,1.9056526707527299E37
22,1.9056526707527299E37
23,1.9056526707527299E37
24,1.9056526707527299E37
25,1.9056526707527299E37
26,1.9056526707527299E37
27,1.9056526707527299E37
28,1.9056526707527299E37
29,1.9056526707527299E37
30,1.9056526707527299E37
31,1.9056526707527299E37
32,1.9056526707527299E37
33,1.9056526707527299E37
34,1.9056526707527299E37
35,1.9056526707527299E37
36,1.9056526707527299E37
37,1.9056526707527299E37
38,1.9056526707527299E37
39,1.9056526707527299E37
40,1.9056526707527299E37
41,1.9056526707527299E37
42,1.9056526707527299E37
43,1.9056526707527299E37
44,1.9056526707527299E37
45,1.9056526707527299E37
46,1.9056526707527299E37
47,1.9056526707527299E37
48,1.9056526707527299E37
49,1.9056526707527299E37
50,1.9056526707527299E37
51,1.9056526707527299E37
52,1.9056526707527299E37
53,1.9056526707527299E37
54,1.9056526707527299E37
55,1.9056526707527299E37
56,1.9056526707527299E37
57,1.9056526707527299E37
58,1.9056526707527299E37
59,1.9056526707527299E37
60,1.9056526707527299E37
61,1.9056526707527299E37
62,1.9056526707527299E37
63,1.9056526707527299E37
64,1.9056526707527299E37
65,1.9056526707527299E37
66,1.9056526707527299E37
67,1.9056526707527299E37
68,1.9056526707527299E37
69,1.9056526707527299E37
70,1.9056526707527299E37
71,1.9056526707527299E37
72,1.9056526707527299E37
73,1.9056526707527299E37
74,1.9056526707527299E37
75,1.9056526707527299E37
76,1.9056526707527299E37
77,1.9056526707527299E37
78,1.9056526707527299E37
79,1.9056526707527299E37
80,1.9056526707527299E37
81,1.9056526707527299E37
82,1.9056526707527299E37
83,1.9056526707527299E37
84,1.9056526707527299E37
