section,, AIC_NS, AIC_S16, relative_likelihood_S16, rank
8840,8880,3987.568332,3961.181706,536763.5714975696,1
5885,5907,1821.7572,1801.151508,29817.358413345417,2
1846,1934,14285.641784,14264.642672,36299.3821700672,3
2776,3042,39427.737774,39405.41916,70214.28083352747,4
1796,1942,22910.837156,22896.229512,1485.9684595718436,5
969,1087,17772.02491,17758.527668,852.8818271766063,6
2050,2171,15383.272268,15371.048624,451.1599802522945,7
2099,2131,2516.624532,2519.519674,0.23514075187131947,8
5153,5181,2649.937728,2657.94779,0.01822372431446433,9
2625,2828,29989.732292,29997.95216,0.016408857475147212,10
2185,2544,46721.34706,46736.740136,4.5439758739559033E-4,11
4371,4603,27547.254408,27564.355976,1.93393419666499E-4,12
8798,8887,10387.714026,10412.068246,5.146930707914107E-6,13
3534,3661,17701.471564,17728.571198,1.3043352942736146E-6,14
4296,4642,42730.354708,42761.60997,1.6330748534885198E-7,15
3938,3976,4044.044808,ND,ND,16
3938,3980,4824.788022,ND,ND,17
3042,3084,5686.38886,ND,ND,18
4963,4974,425.925554,ND,ND,19
4707,4723,444.296508,ND,ND,20
6499,6520,1883.61037,ND,ND,21
6051,6076,2627.801328,ND,ND,22
1763,1788,4596.077914,ND,ND,23
2019,2047,4042.364334,ND,ND,24
5091,5124,2598.935776,ND,ND,25
6563,6596,3334.277418,ND,ND,26
4708,4722,415.869482,ND,ND,27
7908,7930,1429.847472,ND,ND,28
1636,1658,1326.576584,ND,ND,29
1636,1663,1945.355838,ND,ND,30
1572,1602,5324.811234,ND,ND,31
1572,1603,5363.091016,ND,ND,32
8036,8080,4749.050764,ND,ND,33
8805,8820,1589.739002,ND,ND,34
8036,8091,6461.298348,ND,ND,35
6565,6595,2735.924844,ND,ND,36
8293,8330,3461.161614,ND,ND,37
5797,5842,4074.308226,ND,ND,38
2982,2993,2148.272948,ND,ND,39
2022,2036,1713.967652,ND,ND,40
6502,6513,1061.71602,ND,ND,41
5350,5367,931.413468,ND,ND,42
6117,6171,5649.352586,ND,ND,43
