section,, AIC_NS, AIC_S16, relative_likelihood_S16, rank
636,990,11592.342726,ND,ND,1
869,936,ND,ND,-,2
714,750,ND,ND,-,3
83,857,ND,ND,-,4
823,831,ND,ND,-,5
359,368,ND,ND,-,6
890,933,ND,ND,-,7
255,268,ND,ND,-,8
875,888,ND,ND,-,9
475,488,ND,ND,-,10
951,964,ND,ND,-,11
566,613,ND,ND,-,12
363,381,ND,ND,-,13
315,334,ND,ND,-,14
735,756,ND,ND,-,15
229,314,ND,ND,-,16
23,172,ND,ND,-,17
179,210,ND,ND,-,18
212,983,23285.973962,ND,ND,19
303,340,ND,ND,-,20
38,108,ND,ND,-,21
178,249,ND,ND,-,22
771,938,ND,ND,-,23
344,353,ND,ND,-,24
240,251,ND,ND,-,25
557,793,ND,ND,-,26
614,950,ND,ND,-,27
370,451,ND,ND,-,28
452,469,ND,ND,-,29
68,985,27067.536322,ND,ND,30
563,616,ND,ND,-,31
384,405,ND,ND,-,32
99,153,ND,ND,-,33
832,857,ND,ND,-,34
40,67,ND,ND,-,35
28,55,ND,ND,-,36
792,820,ND,ND,-,37
158,507,ND,ND,-,38
10,1000,29048.03178,ND,ND,39
68,999,27888.023156,ND,ND,40
400,440,ND,ND,-,41
612,781,ND,ND,-,42
540,837,ND,ND,-,43
106,468,ND,ND,-,44
490,852,ND,ND,-,45
568,611,ND,ND,-,46
945,958,ND,ND,-,47
385,399,ND,ND,-,48
757,774,ND,ND,-,49
272,961,ND,ND,-,50
512,562,ND,ND,-,51
506,621,ND,ND,-,52
491,831,ND,ND,-,53
697,717,ND,ND,-,54
281,301,ND,ND,-,55
776,958,ND,ND,-,56
784,839,ND,ND,-,57
508,565,ND,ND,-,58
408,469,ND,ND,-,59
841,873,ND,ND,-,60
250,379,ND,ND,-,61
624,818,ND,ND,-,62
505,539,ND,ND,-,63
661,699,ND,ND,-,64
121,160,ND,ND,-,65
125,166,ND,ND,-,66
317,358,ND,ND,-,67
702,712,ND,ND,-,68
626,768,ND,ND,-,69
714,729,ND,ND,-,70
177,224,ND,ND,-,71
474,489,ND,ND,-,72
714,730,ND,ND,-,73
645,693,ND,ND,-,74
306,450,ND,ND,-,75
2,22,ND,ND,-,76
794,818,ND,ND,-,77
169,355,ND,ND,-,78
