section,, AIC_NS, AIC_S16, relative_likelihood_S16, rank
9207,9495,13651.150712,13463.127786,6.739995654822397E40,1
9207,9503,13906.233062,13740.364466,1.042096607133558E36,2
20,264,5381.339208,5223.237936,2.144149216859088E34,3
1486,1801,18255.88066,18106.884886,2.2595462622016146E32,4
9208,9505,13931.124708,13793.02844,9.71009730312654E29,5
771,938,3986.160368,3850.38285,3.0458844025326586E29,6
1523,1769,13701.278836,13566.658342,1.7079252045699313E29,7
1595,1784,10044.283998,9913.366648,2.681274915559793E28,8
6522,6692,14596.177226,14465.479116,2.4028905204011985E28,9
778,950,4002.43653,3876.42879,2.3026772993569027E27,10
64,247,4082.139574,3959.226434,4.900599684179533E26,11
778,840,1333.57828,1213.873716,9.851804881993498E25,12
615,949,9946.601316,9824.194,3.805493125103553E26,13
787,827,604.752186,487.422226,3.005225705496855E25,14
784,839,1175.979398,1065.122916,1.1808077853692606E24,15
10725,11043,22991.9423,22880.95522,1.2604865133480523E24,16
7111,7385,21010.920376,20910.925348,5.171832358616817E21,17
10782,10926,9548.723234,9450.464194,2.17109803638529E21,18
6357,6539,10165.803046,10068.248716,1.5263481420722172E21,19
5320,5372,750.95555,657.962738,1.56002857767973E20,20
792,820,492.76861,406.509682,5.3813126215039836E18,21
3143,3263,5332.391702,5248.450172,1.68916331440269363E18,22
79,150,1174.732898,1092.512522,7.143775507092329E17,23
9379,9408,775.669788,695.236026,2.9239470094530054E17,24
7922,8035,8346.55245,8266.730968,2.15285403309561312E17,25
1713,1748,1780.772576,1703.581922,5.7774679287755488E16,26
2634,2819,10256.552856,10176.72981,2.15453822338222432E17,27
6551,6635,4814.599862,4736.672318,8.351244019152416E16,28
2180,2259,4127.959094,4050.288968,7.3426624766715728E16,29
1578,1691,4747.70647,4669.371476,1.02382992002960288E17,30
10980,11019,1851.044958,1774.875082,3.467994635621774E16,31
3148,3253,5033.579598,4956.05798,6.8171910130729128E16,32
7051,7382,25300.901562,25222.038082,1.33348180379826864E17,33
10878,11004,8022.912346,7947.396292,2.5009371261496296E16,34
5033,5164,6877.73092,6805.03831,6.095364748855056E15,35
952,1156,14787.898472,14715.365976,5.62641012234414E15,36
3772,3815,962.761878,893.94179,8.792092149277246E14,37
4623,4711,4728.777784,4658.841438,1.5363302299720248E15,38
4948,5001,1848.99123,1780.96802,5.902722576291282E14,39
9420,9439,283.673808,217.88627,1.9301113548837728E14,40
10993,11074,6214.171944,6145.91112,6.647366080470311E14,41
6081,6367,21241.293628,21172.746684,7.669724519280391E14,42
5458,5499,656.968728,592.482464,1.0069648405511778E14,43
1626,1676,1861.67827,1797.6689,7.933376959394302E13,44
4776,4818,1728.311164,1664.801054,6.180806663817638E13,45
4292,4338,1512.412866,1449.320986,5.014500378751484E13,46
4776,4815,1716.254538,1654.42782,2.663797645981037E13,47
9384,9418,1150.087562,1089.234424,1.6371596033108303E13,48
9421,9438,253.198182,193.793238,7.936329462647978E12,49
5045,5112,2583.460932,2521.544536,2.7859579755124035E13,50
6143,6245,5950.61369,5888.064216,3.823364488291178E13,51
9386,9414,951.32285,894.460982,2.225347056872816E12,52
9417,9442,407.477626,352.49333,8.703384535390255E11,53
2231,2349,7758.704262,7701.181342,3.0970154326389336E12,54
3218,3263,1242.831928,1187.551582,1.0091938906110203E12,55
4951,4981,646.482344,592.272442,5.909226701372686E11,56
