section,, AIC_NS, AIC_S16, relative_likelihood_S16, rank
330,690,20863.01885,20568.450254,9.220572614882147E63,1
765,838,5914.796652,5633.561672,1.1732754030979064E61,2
9006,9192,16416.438224,16153.935274,1.0041332176204119E57,3
143,257,1579.699052,1320.363106,2.061033987046321E56,4
139,259,1621.308978,1361.979856,2.0540137224647516E56,5
144,256,1572.562412,1322.5008,1.9961313419838934E54,6
9696,9742,5007.771554,4774.196652,5.24983343953742E50,7
9695,9742,5041.440366,4810.54055,1.3780278051598017E50,8
9689,9751,5944.906284,5720.082284,6.605585217770577E48,9
9022,9156,11818.424258,11596.529932,1.5266541890078576E48,10
1479,1868,82889.62178,82668.438718,1.0697730640257137E48,11
793,834,2690.905824,2483.660478,1.0063639798817422E45,12
8811,9155,37549.15488,37340.278888,2.2742874971162402E45,13
8994,9150,13636.913136,13431.48144,4.063740716885092E44,14
8873,9204,35117.251274,34913.658464,1.6203803542542725E44,15
792,835,2851.011084,2653.316782,8.487352330373749E42,16
797,829,2059.530182,1863.694346,3.351285803880679E42,17
9013,9107,7582.624756,7409.200322,4.556562762877573E37,18
9048,9135,7050.66015,6878.45019,2.4826624657840216E37,19
174,232,956.479368,787.549474,4.815710779989667E36,20
8350,8397,2359.529756,2196.078574,3.111524332588823E35,21
8207,8436,25995.867358,25829.41381,1.3961391153644288E36,22
441,521,2879.652972,2722.104492,1.6263639835600312E34,23
8186,8394,24181.341708,24027.462024,2.5974597058275734E33,24
8348,8399,3052.879966,2909.604158,1.2940361304153163E31,25
8222,8413,21108.649384,20964.98659,1.570288118017844E31,26
2225,2618,52462.64299,52320.692916,6.669095277539938E30,27
178,228,832.994202,699.088654,1.1945939097733989E29,28
1778,1949,26646.813928,26512.640058,1.3661100248347631E29,29
1605,1866,46555.695054,46420.874314,1.8877814491815495E29,30
784,906,9814.500508,9681.812798,6.497856778633906E28,31
8349,8398,2622.643318,2492.159624,2.1586097844327715E28,32
1636,1730,15708.831812,15583.51425,1.630657795870717E27,33
6198,6430,27581.405282,27460.336742,1.948495589299123E26,34
5884,6078,23900.370872,23782.363942,4.215792847332146E25,35
386,450,2446.793404,2336.20771,1.0312841447124692E24,36
5804,5907,10940.412072,10830.002922,9.4415282801409E23,37
4977,5180,24213.513082,24103.621494,7.288784968473063E23,38
6100,6455,42848.99663,42739.058164,7.461644715310837E23,39
8951,8979,3237.45865,3134.080648,2.807035527725483E22,40
522,573,3025.582546,2922.392652,2.5550580770246387E22,41
5283,5537,28830.239536,28725.313164,6.0879655028869365E22,42
6209,6522,38395.32516,38290.046634,7.260080770092649E22,43
5477,5565,7856.295164,7754.624144,1.1955878081741495E22,44
525,573,2844.524064,2744.999878,4.0869789215273936E21,45
9709,9728,1580.752762,1485.689126,4.3934559077818014E20,46
8339,8383,3157.499232,3061.495512,7.029799185973249E20,47
3475,3541,7631.067224,7534.316768,1.0211618494365174E21,48
4330,4467,15626.001244,15529.30792,9.924040433330926E20,49
1244,1295,6798.342556,6707.301348,5.879591184882592E19,50
2327,2545,26510.594234,26417.004874,2.1021868081327446E20,51
1929,2003,10669.162554,10579.196206,3.435138458842658E19,52
909,1235,51490.651696,51399.373522,6.619171645974094E19,53
401,438,1149.00379,1063.52012,3.6521035845126446E18,54
1942,1995,7726.29929,7640.512254,4.2502862181128284E18,55
3070,3151,13266.430356,13181.377558,2.944288894882795E18,56
2315,2610,37998.787458,37911.705698,8.1201475574452767E18,57
7697,8047,28626.41301,28540.739818,4.0151083209796628E18,58
5854,6097,30335.56423,30250.795238,2.5547754316347418E18,59
5881,6084,25161.032174,25078.7269,7.4535499264837094E17,60
4042,4094,6037.016654,5959.090744,8.3444238392108288E16,61
3101,3133,4598.076,4521.425548,4.4099551180551088E16,62
