section,, AIC_NS, AIC_S16, relative_likelihood_S16, rank
114,446,9910.55369,9733.426812,2.901435069735696E38,1
1,490,15062.717672,14891.036726,1.9056526707527299E37,2
263,454,4747.059388,4583.109752,3.992189172423508E35,3
199,496,9530.419506,9367.017484,3.035975365009629E35,4
271,434,3946.508754,3787.174636,3.971587298942901E34,5
115,445,9836.88494,9688.802182,1.4314043484114493E32,6
271,433,3927.197238,3782.404812,2.762331631697235E31,7
275,337,1442.232772,1325.231934,2.549230821775659E25,8
287,323,584.215876,473.845054,9.262313552519256E23,9
292,316,479.520734,395.806138,1.50797294147707571E18,10
154,303,4683.68046,4628.674238,8.799324675029716E11,11
125,313,5937.479128,5929.107676,65.74121171533797,12
450,481,988.501576,ND,ND,13
365,432,872.357538,ND,ND,14
448,483,1160.565984,ND,ND,15
214,250,893.28599,ND,ND,16
319,327,110.410338,ND,ND,17
386,429,488.499632,ND,ND,18
210,256,1262.615604,ND,ND,19
387,401,212.338332,ND,ND,20
179,194,259.025438,ND,ND,21
257,274,301.979446,ND,ND,22
279,296,211.762358,ND,ND,23
446,495,1667.58125,ND,ND,24
235,256,299.402884,ND,ND,25
197,218,385.55262,ND,ND,26
459,485,863.342724,ND,ND,27
403,429,175.486718,ND,ND,28
327,354,623.430554,ND,ND,29
143,174,820.594714,ND,ND,30
161,199,1243.627678,ND,ND,31
338,347,121.874966,ND,ND,32
148,157,101.206424,ND,ND,33
132,269,4351.41333,ND,ND,34
202,212,92.681294,ND,ND,35
372,383,103.439156,ND,ND,36
67,112,895.34185,ND,ND,37
276,289,120.487208,ND,ND,38
136,150,155.006072,ND,ND,39
126,268,4333.724268,ND,ND,40
214,230,535.591364,ND,ND,41
145,193,1301.212084,ND,ND,42
330,347,354.51597,ND,ND,43
319,371,1524.053318,ND,ND,44
90,111,401.417036,ND,ND,45
328,353,537.386744,ND,ND,46
7,66,1154.651502,ND,ND,47
350,444,1544.946748,ND,ND,48
