section,, AIC_NS, AIC_S16, relative_likelihood_S16, rank
9207,9495,13651.150712,13463.127786,6.739995654822397E40,1
9216,9495,13396.83992,13241.4052,5.652240025046633E33,2
1486,1801,18255.88066,18106.884886,2.2595462622016146E32,3
9208,9505,13931.124708,13793.02844,9.71009730312654E29,4
1523,1769,13701.278836,13566.658342,1.7079252045699313E29,5
6537,6828,23889.33182,23755.369936,1.2287216293422632E29,6
6522,6692,14596.177226,14465.479116,2.4028905204011985E28,7
10715,11061,26165.21477,26038.250072,3.7156420483062076E27,8
6551,6613,3804.136388,3696.83319,1.99799037148262E23,9
2407,2627,7846.233734,7746.54224,4.443578619225285E21,10
6357,6539,10165.803046,10068.248716,1.5263481420722172E21,11
5320,5372,750.95555,657.962738,1.56002857767973E20,12
10790,11030,16895.457328,16800.55018,4.0627989803872603E20,13
9376,9420,1626.875788,1536.47501,4.268541642173297E19,14
2269,2356,4665.623248,4579.5927,4.8006067976786289E18,15
3143,3263,5332.391702,5248.450172,1.68916331440269363E18,16
9379,9408,775.669788,695.236026,2.9239470094530054E17,17
5481,5554,2129.247958,2048.3259559999997,3.7324110506211885E17,18
7922,8035,8346.55245,8266.730968,2.15285403309561312E17,19
2634,2819,10256.552856,10176.72981,2.15453822338222432E17,20
6551,6635,4814.599862,4736.672318,8.351244019152416E16,21
2180,2259,4127.959094,4050.288968,7.3426624766715728E16,22
1578,1691,4747.70647,4669.371476,1.02382992002960288E17,23
3148,3253,5033.579598,4956.05798,6.8171910130729128E16,24
3576,3651,4464.119612,4387.334334,4.7174929890210936E16,25
1585,1671,3535.336934,3458.308478,5.327417036045948E16,26
5960,6323,26246.917352,26169.02986,8.1856654779712368E16,27
9311,9353,1071.584866,998.034886,9.357831675847976E15,28
7099,7171,4329.98585,4256.39284,9.561346888797958E15,29
952,1156,14787.898472,14715.365976,5.62641012234414E15,30
3772,3815,962.761878,893.94179,8.792092149277246E14,31
4623,4711,4728.777784,4658.841438,1.5363302299720248E15,32
4746,4778,1487.840124,1420.046434,5.262749969817995E14,33
9420,9439,283.673808,217.88627,1.9301113548837728E14,34
6081,6367,21241.293628,21172.746684,7.669724519280391E14,35
1626,1676,1861.67827,1797.6689,7.933376959394302E13,36
4776,4818,1728.311164,1664.801054,6.180806663817638E13,37
4292,4338,1512.412866,1449.320986,5.014500378751484E13,38
4776,4815,1716.254538,1654.42782,2.663797645981037E13,39
9384,9418,1150.087562,1089.234424,1.6371596033108303E13,40
9421,9438,253.198182,193.793238,7.936329462647978E12,41
5045,5112,2583.460932,2521.544536,2.7859579755124035E13,42
6143,6245,5950.61369,5888.064216,3.823364488291178E13,43
1744,1856,5964.845162,5902.651184,3.200742426179609E13,44
9389,9412,704.552156,646.750964,3.559339108931449E12,45
5999,6310,22211.435316,22148.611794,4.3848472522933375E13,46
5457,5484,369.827588,312.213042,3.2421992619006914E12,47
9386,9414,951.32285,894.460982,2.225347056872816E12,48
9417,9442,407.477626,352.49333,8.703384535390255E11,49
4951,4981,646.482344,592.272442,5.909226701372686E11,50
4930,4969,891.456618,837.008056,6.658172031045098E11,51
1858,1906,999.26855,944.981796,6.140713723804506E11,52
2377,2403,613.847254,560.9996,2.990351613764796E11,53
5485,5546,1342.341372,1289.004612,3.8188295573354944E11,54
1003,1092,5335.873894,5282.62377,3.656937238732731E11,55
1530,1551,424.481052,374.096224,8.728234101442471E10,56
9410,9448,973.875574,922.800684,1.2324560623193777E11,57
3774,3813,794.687724,743.880522,1.0780619917181958E11,58
6486,6515,1174.344396,1125.178078,4.7460280586532326E10,59
8591,8635,1982.552178,1933.819516,3.8208773539618286E10,60
9359,9374,314.96353,268.508528,1.2234198219726831E10,61
4684,4712,998.685188,951.48397,1.77670063783513E10,62
1803,1885,3415.093372,3367.943132,1.731986594232056E10,63
4691,4711,570.010618,526.004396,3.5960828759683557E9,64
3355,3403,1925.015188,1879.646212,7.108008904631985E9,65
3149,3171,440.792642,396.961936,3.2939490464902015E9,66
6049,6323,19447.822134,19399.09958,3.8016153558847664E10,67
6112,6312,13946.334188,13898.60611,2.3121736822281094E10,68
4303,4328,618.298958,575.053402,2.4584035185123734E9,69
5199,5250,1170.074266,1125.643648,4.446170496305747E9,70
8588,8636,2430.60385,2386.394588,3.980331721976819E9,71
9287,9312,557.515576,515.4355760000001,1.3726376256245277E9,72
5275,5329,1501.027926,1458.320762,1.8782043042104597E9,73
949,1161,15085.688922,15040.342228,7.029258073486664E9,74
7968,8040,4050.27102,4007.80641,1.6636918900978777E9,75
1007,1051,2050.772888,2010.185704,6.507213013611333E8,76
7309,7354,2275.2233,2234.617788,6.567119184506214E8,77
1524,1563,1645.980476,1606.32165,4.0907660714457655E8,78
4246,4262,339.80322,302.141734,1.5069115965528134E8,79
9785,9825,1535.487336,1496.141182,3.4987167417404264E8,80
3620,3653,1351.126376,1312.308384,2.686704248552686E8,81
4243,4264,423.22442,385.448306,1.595801720521625E8,82
973,1051,4603.103058,4563.221072,4.57365312303711E8,83
5181,5244,2421.784396,2382.493884,3.402720490859314E8,84
4692,4740,1223.256754,1184.66754,2.3963008984959468E8,85
1321,1552,10844.50691,10802.941624,1.061175401427788E9,86
4693,4714,474.53211,438.279532,7.44984591063752E7,87
9289,9310,495.1431,458.94976,7.232424718554251E7,88
2045,2074,1059.05663,1022.478482,8.766856892475936E7,89
8863,9052,17735.643586,17695.852868,4.3696296448154646E8,90
9358,9375,360.64266,325.863976,3.565293394372678E7,91
8005,8036,971.64104,936.675112,3.915207577232456E7,92
3782,3805,257.607624,223.23212,2.9143777991455153E7,93
6014,6068,1838.981746,1803.312798,5.56433983156891E7,94
5609,5663,1234.13336,1198.477318,5.5285487507568E7,95
2912,2933,496.834946,463.063402,2.1547535370170802E7,96
7240,7264,540.981298,506.97325,2.4252348111492746E7,97
7926,7938,312.305418,280.155068,9579874.024335356,98
6146,6159,269.015658,236.773926,1.002774190004696E7,99
7345,7414,3471.895134,3436.488854,4.879507775207165E7,100
7996,8042,1692.154184,1657.55323,3.2621332385984417E7,101
8871,9095,19537.729716,19500.05744,1.515063354211252E8,102
5608,5742,8303.484058,8267.34966,7.0223881257631E7,103
5616,5681,1969.185248,1934.48466,3.428758865977094E7,104
9832,9908,4388.273194,4353.457656,3.631600096333953E7,105
3428,3452,524.539204,492.164006,1.0719756512899322E7,106
2359,2410,1627.953452,1594.123498,2.2186110546885353E7,107
7308,7356,2486.689378,2453.335966,1.7482413661834642E7,108
2054,2082,834.335434,802.11111,9940839.183811978,109
7914,7935,552.672962,521.1022820000001,7169453.576653653,110
6493,6508,329.161504,298.249768,5157012.515883414,111
3776,4069,17090.27788,17053.556248,9.418919215479867E7,112
8680,9014,32233.74787,32196.894262,1.0061420415018949E8,113
4265,4298,1436.616786,1404.640046,8783363.686095668,114
8780,8906,8562.731094,8528.672288,2.4875725340489265E7,115
3551,3571,300.365772,270.44185,3147002.5929826014,116
4264,4314,2551.336148,2521.916468,2445695.2590542356,117
4966,4983,258.67244,231.458402,811807.887984804,118
3370,3390,536.54003,509.226124,853373.843916096,119
2194,2246,1576.618102,1548.167536,1506474.9357356592,120
5015,5039,603.358984,576.608496,643864.7709241998,121
2379,2398,443.115286,416.868246,500578.6458707786,122
5217,5240,327.844698,301.234472,600256.8944609773,123
4332,4382,1587.14504,1559.056572,1256994.3591342627,124
5199,5214,322.949318,297.78238,291696.45415841317,125
5453,5481,319.339106,293.02969,516436.6977441245,126
2055,2081,643.377576,617.461078,424322.4752611309,127
2054,2095,1353.298218,1327.226476,458571.26988237473,128
6112,6151,1771.232562,1746.266006,263887.4591124858,129
5174,5214,1536.58501,1511.723292,250411.03832400317,130
1612,1636,682.623792,658.993578,135280.67862402106,131
