Position,Relative_Likelihood
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,1323.3173409295923
20,1323.3173409295923
21,1323.3173409295923
22,1323.3173409295923
23,1323.3173409295923
24,1323.3173409295923
25,1323.3173409295923
26,155635.3422160944
27,155635.3422160944
28,155635.3422160944
29,155635.3422160944
30,7.700254259599705E7
31,7.700254259599705E7
32,7.700254259599705E7
33,7.700254259599705E7
34,7.700254259599705E7
35,7.700254259599705E7
36,7.700254259599705E7
37,7.700254259599705E7
38,7.700254259599705E7
39,5.269354577927156E12
40,5.269354577927156E12
41,5.269354577927156E12
42,5.269354577927156E12
43,5.269354577927156E12
44,5.269354577927156E12
45,5.269354577927156E12
46,5.269354577927156E12
47,5.269354577927156E12
48,5.269354577927156E12
49,5.269354577927156E12
50,5.269354577927156E12
51,5.269354577927156E12
52,5.269354577927156E12
53,5.269354577927156E12
54,5.269354577927156E12
55,5.269354577927156E12
56,5.269354577927156E12
57,5.269354577927156E12
58,5.269354577927156E12
59,5.269354577927156E12
60,5.269354577927156E12
61,5.269354577927156E12
62,5.269354577927156E12
63,5.269354577927156E12
64,5.269354577927156E12
65,5.269354577927156E12
66,5.269354577927156E12
67,5.269354577927156E12
68,5.269354577927156E12
69,5.269354577927156E12
70,5.269354577927156E12
71,5.269354577927156E12
72,5.269354577927156E12
73,5.269354577927156E12
74,7.700254259599705E7
75,7.700254259599705E7
76,7.700254259599705E7
77,7.700254259599705E7
78,7.700254259599705E7
79,7.700254259599705E7
80,7.700254259599705E7
81,7.700254259599705E7
82,7.700254259599705E7
83,7.700254259599705E7
84,7.700254259599705E7
85,7.700254259599705E7
86,7.700254259599705E7
87,7.700254259599705E7
88,1323.3173409295923
89,1323.3173409295923
90,1323.3173409295923
91,1323.3173409295923
92,1323.3173409295923
93,1323.3173409295923
94,1323.3173409295923
95,1323.3173409295923
96,1323.3173409295923
97,1323.3173409295923
98,1323.3173409295923
99,1323.3173409295923
100,1323.3173409295923
101,1323.3173409295923
102,1323.3173409295923
103,1323.3173409295923
104,1323.3173409295923
105,1.5913316207492864E9
106,1.5913316207492864E9
107,1.5913316207492864E9
108,1.5913316207492864E9
109,1.5913316207492864E9
110,1.5913316207492864E9
111,1.5913316207492864E9
112,1.5913316207492864E9
113,1.5913316207492864E9
114,1.5913316207492864E9
115,5.991259745325626E14
116,5.991259745325626E14
117,5.991259745325626E14
118,5.991259745325626E14
119,5.991259745325626E14
120,5.991259745325626E14
121,5.991259745325626E14
122,5.991259745325626E14
123,5.991259745325626E14
124,5.991259745325626E14
125,5.991259745325626E14
126,5.991259745325626E14
127,5.991259745325626E14
128,5.991259745325626E14
129,5.991259745325626E14
130,5.991259745325626E14
131,5.991259745325626E14
132,5.991259745325626E14
133,5.991259745325626E14
134,5.991259745325626E14
