section,, AIC_NS, AIC_S16, relative_likelihood_S16, rank
8,220,15097.954952,15016.353888,5.2413831273367987E17,1
28,204,13004.125368,12924.896032,1.60114887604550304E17,2
19,196,12947.18407,12891.387622,1.3063054480147297E12,3
66,110,2052.108342,2012.282478,4.44709580950821E8,4
39,143,6397.016038,6356.20443,7.279944627358718E8,5
62,151,5346.179988,5305.715696,6.119407364978156E8,6
56,156,5967.52899,5931.678452,6.093199718257233E7,7
199,328,10532.45425,ND,ND,8
258,292,2540.772084,ND,ND,9
207,215,156.920064,ND,ND,10
59,68,239.738372,ND,ND,11
328,442,3838.53468,ND,ND,12
259,278,1139.79328,ND,ND,13
147,167,854.908296,ND,ND,14
227,252,1373.13463,ND,ND,15
144,266,10056.997082,ND,ND,16
229,322,6816.004772,ND,ND,17
355,386,801.021128,ND,ND,18
163,204,3285.117404,ND,ND,19
292,303,320.940156,ND,ND,20
280,295,522.858664,ND,ND,21
40,58,590.506368,ND,ND,22
228,248,854.53121,ND,ND,23
84,106,962.39733,ND,ND,24
152,175,1388.451914,ND,ND,25
152,176,1407.36982,ND,ND,26
260,290,2212.554558,ND,ND,27
344,375,647.480128,ND,ND,28
355,423,1313.322998,ND,ND,29
297,430,5520.154456,ND,ND,30
97,107,190.386614,ND,ND,31
378,488,4039.369938,ND,ND,32
177,196,1241.477088,ND,ND,33
113,134,555.555798,ND,ND,34
69,92,1063.52072,ND,ND,35
81,106,1252.837762,ND,ND,36
209,236,1256.57221,ND,ND,37
117,144,1213.94488,ND,ND,38
109,138,989.462394,ND,ND,39
13,44,1219.519886,ND,ND,40
33,64,1469.565928,ND,ND,41
388,453,1297.135012,ND,ND,42
330,461,4370.796272,ND,ND,43
252,322,4762.997242,ND,ND,44
217,256,2296.21798,ND,ND,45
114,123,166.910752,ND,ND,46
305,350,1936.431388,ND,ND,47
90,104,498.552184,ND,ND,48
157,203,3850.8685,ND,ND,49
5,307,23392.365698,ND,ND,50
210,225,461.33648,ND,ND,51
34,58,858.01742,ND,ND,52
